Kingdom,Phylum,Class,Order,Family,Genus,,HBP_0W,HBP_4W,HBP_8W,LBP_0W,LBP_4W,LBP_8W,NBP_0W,NBP_4W,NBP_8W,CKP_0W,CKP_4W,CKP_8W,CKAK_0W_37.C,CKAK_4W_37.C,CKAK_8W_37.C,LowAK_0W_37.C,LowAK_4W_37.C,LowAK_8W_37.C,CKAK_0W_28.C,CKAK_4W_28.C,CKAK_8W_28.C,LowAK_0W_28.C,LowAK_4W_28.C,LowAK_8W_28.C
Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloquadratum,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,1,6,0,0,0,0,3,0,150
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmatales_Incertae_Sedis,uncultured,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_Subgroup_1,Granulicella,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_Subgroup_1,uncultured,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae_Subgroup_4,11-24,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae_Subgroup_4,Blastocatella,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae_Subgroup_4,RB41,,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae_Subgroup_4,Stenotrophobacter,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae_Subgroup_4,unclassified,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS-19,Acidobacteria_bacterium_WX184,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS-19,uncultured_Acidobacteria_bacterium,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS-19,uncultured_bacterium,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Holophagae,Subgroup_10,Sva0725,uncultured_bacterium,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Holophagae,Subgroup_7,uncultured_bacterium,uncultured_bacterium,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae_Subgroup_3,Bryobacter,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae_Subgroup_3,Candidatus_Solibacter,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Subgroup_25,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Subgroup_6,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,uncultured,,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured_Acidimicrobidae_bacterium,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured_Acidimicrobineae_bacterium,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured_Actinomycetales_bacterium,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured_actinobacterium,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured_bacterium,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,,1,0,0,2,0,3,32,7,0,0,0,1,2,0,10,0,0,20,1,0,0,0,3,22
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,uncultured,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,26,0,1,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,0,0,0,2,0,0,19,0,0,2,0,1,0,0,6,1,1,0,5,0,0,0,2,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,,5,4,5,7,8,12,7,12,8,19,0,3,1,6,17,4,9,50,14,6,149,4,3,25
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_sp._NML_100378,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,,0,0,0,0,0,2,0,2,0,11,0,0,0,0,1,0,3,0,0,0,0,0,0,0
